States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count
delhi,2021,1,new delhi district,TOTAL,53832767509.43621
delhi,2021,1,west district,TOTAL,23133622270.239567
delhi,2021,1,south west district,TOTAL,12780255587.51034
delhi,2021,1,south east delhi district,TOTAL,18449868327.686386
delhi,2021,1,shahdara district,TOTAL,9595155648.306192
delhi,2021,1,north east district,TOTAL,8600371051.924284
delhi,2021,1,east district,TOTAL,11290580992.02735
delhi,2021,1,north west district,TOTAL,15349170514.541979
delhi,2021,1,north district,TOTAL,12976771848.005226
tamil-nadu,2019,4,tiruchirappalli district,TOTAL,2850823022.8616314
tamil-nadu,2019,4,ramanathapuram district,TOTAL,466879310.9724102
tamil-nadu,2019,4,krishnagiri district,TOTAL,2599923579.484123
tamil-nadu,2019,4,cuddalore district,TOTAL,1069462594.6879781
tamil-nadu,2019,4,kancheepuram district,TOTAL,4643283492.789846
tamil-nadu,2019,4,tiruppur district,TOTAL,4339514037.303126
tamil-nadu,2019,4,dharmapuri district,TOTAL,1179249689.0943723
tamil-nadu,2019,4,thoothukkudi district,TOTAL,673765706.7351946
tamil-nadu,2019,4,thanjavur district,TOTAL,1089380865.8971028
tamil-nadu,2019,4,madurai district,TOTAL,2775348044.296371
tamil-nadu,2019,4,tiruvannamalai district,TOTAL,1076989969.0761592
tamil-nadu,2019,4,salem district,TOTAL,3897469229.2628374
tamil-nadu,2019,4,nagapattinam district,TOTAL,461426174.73255897
tamil-nadu,2019,4,tirupathur district,TOTAL,757709091.2759188
tamil-nadu,2019,4,ariyalur district,TOTAL,270334848.5944755
tamil-nadu,2019,4,chennai district,TOTAL,31810645818.308853
tamil-nadu,2019,4,the nilgiris district,TOTAL,537415179.52037
tamil-nadu,2019,4,erode district,TOTAL,2315486948.9064226
tamil-nadu,2019,4,karur district,TOTAL,651278224.9980934
tamil-nadu,2019,4,kallakkurichi district,TOTAL,615206202.5476354
tamil-nadu,2019,4,viluppuram district,TOTAL,911152034.8421421
tamil-nadu,2019,4,pudukkottai district,TOTAL,513371629.4764075
tamil-nadu,2019,4,perambalur district,TOTAL,262954158.27917016
tamil-nadu,2019,4,coimbatore district,TOTAL,11949970482.923735
tamil-nadu,2019,4,virudhunagar district,TOTAL,780408757.3399825
tamil-nadu,2019,4,dindigul district,TOTAL,1157558219.820724
tamil-nadu,2019,4,sivaganga district,TOTAL,681274042.3255894
tamil-nadu,2019,4,tenkasi district,TOTAL,403713924.4305418
tamil-nadu,2019,4,chengalpattu district,TOTAL,9083457170.596087
tamil-nadu,2019,4,kanniyakumari district,TOTAL,795547991.5668749
tamil-nadu,2019,4,tirunelveli district,TOTAL,745395226.0570003
tamil-nadu,2019,4,thiruvallur district,TOTAL,7308502938.397885
tamil-nadu,2019,4,theni district,TOTAL,559543041.1831771
tamil-nadu,2019,4,ranipet district,TOTAL,816050436.4792322
tamil-nadu,2019,4,namakkal district,TOTAL,1234659045.0414333
tamil-nadu,2019,4,vellore district,TOTAL,1572585255.604042
tamil-nadu,2019,4,thiruvarur district,TOTAL,333129126.8343694
tamil-nadu,2019,2,tiruchirappalli district,TOTAL,1748258486.2944925
tamil-nadu,2019,2,ramanathapuram district,TOTAL,296811295.8616359
tamil-nadu,2019,2,krishnagiri district,TOTAL,1504554589.8086202
tamil-nadu,2019,2,cuddalore district,TOTAL,724326506.6539905
tamil-nadu,2019,2,kancheepuram district,TOTAL,2936409443.598878
tamil-nadu,2019,2,tiruppur district,TOTAL,2631888252.799778
tamil-nadu,2019,2,dharmapuri district,TOTAL,750439298.4748436
tamil-nadu,2019,2,thoothukkudi district,TOTAL,412772487.6535857
tamil-nadu,2019,2,thanjavur district,TOTAL,680121355.5242591
tamil-nadu,2019,2,madurai district,TOTAL,1703311128.1845107
tamil-nadu,2019,2,tiruvannamalai district,TOTAL,651936392.503907
tamil-nadu,2019,2,salem district,TOTAL,2340941775.7458673
tamil-nadu,2019,2,nagapattinam district,TOTAL,288878413.0761344
tamil-nadu,2019,2,tirupathur district,TOTAL,439049538.038205
tamil-nadu,2019,2,ariyalur district,TOTAL,182726352.90462667
tamil-nadu,2019,2,chennai district,TOTAL,20366477248.325935
tamil-nadu,2019,2,the nilgiris district,TOTAL,343730237.7547302
tamil-nadu,2019,2,erode district,TOTAL,1395266699.3923202
tamil-nadu,2019,2,karur district,TOTAL,416267818.15522087
tamil-nadu,2019,2,kallakkurichi district,TOTAL,378429511.937363
tamil-nadu,2019,2,viluppuram district,TOTAL,576610926.2303933
tamil-nadu,2019,2,pudukkottai district,TOTAL,321121330.503316
tamil-nadu,2019,2,perambalur district,TOTAL,161197712.56576952
tamil-nadu,2019,2,coimbatore district,TOTAL,7063644440.487608
tamil-nadu,2019,2,virudhunagar district,TOTAL,465084869.3948114
tamil-nadu,2019,2,dindigul district,TOTAL,696936336.7798494
tamil-nadu,2019,2,sivaganga district,TOTAL,372992810.1422117
tamil-nadu,2019,2,tenkasi district,TOTAL,247940691.25120723
tamil-nadu,2019,2,chengalpattu district,TOTAL,5655296088.730306
tamil-nadu,2019,2,kanniyakumari district,TOTAL,466208102.0994936
tamil-nadu,2019,2,tirunelveli district,TOTAL,472709052.2940883
tamil-nadu,2019,2,thiruvallur district,TOTAL,4674408137.818318
tamil-nadu,2019,2,theni district,TOTAL,356493376.3471781
tamil-nadu,2019,2,ranipet district,TOTAL,511118431.89607203
tamil-nadu,2019,2,namakkal district,TOTAL,809609337.9236962
tamil-nadu,2019,2,vellore district,TOTAL,961718767.3510636
tamil-nadu,2019,2,thiruvarur district,TOTAL,201988781.25331098
