States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count,Transaction_Amount
tamil-nadu,2018,1,chennai,TOTAL,2656230,4281137762.522443
tamil-nadu,2018,1,chengalpattu,TOTAL,569483,1030187164.9716308
tamil-nadu,2018,1,coimbatore,TOTAL,533919,913824434.6276875
tamil-nadu,2018,1,thiruvallur,TOTAL,413340,730210413.6566752
tamil-nadu,2018,1,kancheepuram,TOTAL,308279,538409899.0029244
tamil-nadu,2018,1,tiruppur,TOTAL,239740,423271979.6901944
tamil-nadu,2018,1,salem,TOTAL,219916,375963971.67826045
tamil-nadu,2018,1,krishnagiri,TOTAL,153618,253907426.24551624
tamil-nadu,2018,1,tiruchirappalli,TOTAL,149186,262528157.21513474
tamil-nadu,2018,1,madurai,TOTAL,129858,232151304.34595776
tamil-nadu,2020,4,chennai,TOTAL,24172148,46230345977.314285
tamil-nadu,2020,4,coimbatore,TOTAL,10473572,18723397961.28515
tamil-nadu,2020,4,thiruvallur,TOTAL,10184454,17303936393.299397
tamil-nadu,2020,4,chengalpattu,TOTAL,10168033,13669246947.729094
tamil-nadu,2020,4,kancheepuram,TOTAL,6509711,9795433898.261469
tamil-nadu,2020,4,krishnagiri,TOTAL,5011992,9044884706.251482
tamil-nadu,2020,4,salem,TOTAL,4407759,9865912487.837538
tamil-nadu,2020,4,tiruppur,TOTAL,4364806,8662796446.594257
tamil-nadu,2020,4,madurai,TOTAL,3222620,7010358411.213523
tamil-nadu,2020,4,erode,TOTAL,2534766,5126731992.032161
tamil-nadu,2020,2,chennai,TOTAL,12611208,29147317644.503105
tamil-nadu,2020,2,coimbatore,TOTAL,4598586,9331489602.732159
tamil-nadu,2020,2,chengalpattu,TOTAL,3911793,5672393784.752347
tamil-nadu,2020,2,thiruvallur,TOTAL,3872452,6511946063.874299
tamil-nadu,2020,2,kancheepuram,TOTAL,2203060,3393883768.084098
tamil-nadu,2020,2,salem,TOTAL,1996687,3860454261.651264
tamil-nadu,2020,2,krishnagiri,TOTAL,1815882,2926042853.456265
tamil-nadu,2020,2,tiruppur,TOTAL,1672101,2911511483.8182716
tamil-nadu,2020,2,madurai,TOTAL,1479517,2674909377.665058
tamil-nadu,2020,2,tiruchirappalli,TOTAL,1239752,2259353198.2312646
tamil-nadu,2020,3,chennai,TOTAL,17354210,39868873382.45007
tamil-nadu,2020,3,coimbatore,TOTAL,6742559,13861133095.484821
tamil-nadu,2020,3,thiruvallur,TOTAL,5496010,10295422113.34424
tamil-nadu,2020,3,chengalpattu,TOTAL,5205491,7909757202.294512
tamil-nadu,2020,3,kancheepuram,TOTAL,3333347,5572087481.284176
tamil-nadu,2020,3,salem,TOTAL,3016579,6990924402.004694
tamil-nadu,2020,3,krishnagiri,TOTAL,2701216,4989224721.359926
tamil-nadu,2020,3,tiruppur,TOTAL,2654998,5542739051.315315
tamil-nadu,2020,3,madurai,TOTAL,2157858,4867134340.423642
tamil-nadu,2020,3,erode,TOTAL,1662818,3580607368.6476803
tamil-nadu,2020,1,chennai,TOTAL,21747309,40923609646.495
tamil-nadu,2020,1,chengalpattu,TOTAL,8891884,10378205348.593527
tamil-nadu,2020,1,coimbatore,TOTAL,6238270,11125605562.452183
tamil-nadu,2020,1,thiruvallur,TOTAL,5190597,8255497494.992451
tamil-nadu,2020,1,kancheepuram,TOTAL,3618880,5144042351.014135
tamil-nadu,2020,1,tiruppur,TOTAL,1918620,3829323477.068222
tamil-nadu,2020,1,salem,TOTAL,1816883,3938965855.2653995
tamil-nadu,2020,1,krishnagiri,TOTAL,1806032,3381602583.567412
tamil-nadu,2020,1,madurai,TOTAL,1334450,2667507196.7747316
tamil-nadu,2020,1,vellore,TOTAL,1236004,1793602013.1346076
tamil-nadu,2021,4,chennai,TOTAL,76229690,118203166308.69281
tamil-nadu,2021,4,coimbatore,TOTAL,27081380,43635817078.197556
tamil-nadu,2021,4,thiruvallur,TOTAL,19146359,31072880036.32846
tamil-nadu,2021,4,chengalpattu,TOTAL,17730987,23840432091.355568
tamil-nadu,2021,4,salem,TOTAL,11783515,22754882844.827263
tamil-nadu,2021,4,kancheepuram,TOTAL,11777894,17286201190.039677
tamil-nadu,2021,4,tiruppur,TOTAL,11167439,18701118258.10759
tamil-nadu,2021,4,krishnagiri,TOTAL,10363352,18220873236.79904
tamil-nadu,2021,4,madurai,TOTAL,6309318,13464800515.296556
tamil-nadu,2021,4,erode,TOTAL,6109637,11279232350.572424
tamil-nadu,2021,2,chennai,TOTAL,43737916,74499227803.65169
tamil-nadu,2021,2,coimbatore,TOTAL,13478464,22760967333.98004
tamil-nadu,2021,2,thiruvallur,TOTAL,10992425,19318347570.29032
tamil-nadu,2021,2,chengalpattu,TOTAL,10075805,14457269251.206604
tamil-nadu,2021,2,kancheepuram,TOTAL,6712965,10372666957.168972
tamil-nadu,2021,2,salem,TOTAL,6557056,13210082950.603289
tamil-nadu,2021,2,krishnagiri,TOTAL,5709389,10202810394.134584
tamil-nadu,2021,2,tiruppur,TOTAL,5150795,9379303653.11161
tamil-nadu,2021,2,madurai,TOTAL,3953976,8300059490.344873
tamil-nadu,2021,2,erode,TOTAL,3273510,6223483781.161043
tamil-nadu,2021,3,chennai,TOTAL,60971210,100463999673.28705
tamil-nadu,2021,3,coimbatore,TOTAL,20245762,33773953433.75327
tamil-nadu,2021,3,thiruvallur,TOTAL,15395149,26049988524.55871
tamil-nadu,2021,3,chengalpattu,TOTAL,14140388,19685011908.637135
tamil-nadu,2021,3,kancheepuram,TOTAL,9646258,14550143056.676134
tamil-nadu,2021,3,salem,TOTAL,8972048,18517560410.07822
tamil-nadu,2021,3,tiruppur,TOTAL,8398025,15282996499.831757
tamil-nadu,2021,3,krishnagiri,TOTAL,8122339,14578072272.708693
tamil-nadu,2021,3,madurai,TOTAL,5142737,11208939183.589071
tamil-nadu,2021,3,erode,TOTAL,4668549,9015063256.621798
tamil-nadu,2021,1,chennai,TOTAL,39623781,67401706552.937416
tamil-nadu,2021,1,coimbatore,TOTAL,13630124,22657497371.80345
tamil-nadu,2021,1,chengalpattu,TOTAL,11689531,15537387199.626888
tamil-nadu,2021,1,thiruvallur,TOTAL,11085004,18895161862.27714
tamil-nadu,2021,1,kancheepuram,TOTAL,7239244,10815729803.34292
tamil-nadu,2021,1,salem,TOTAL,5675889,12397067358.312304
tamil-nadu,2021,1,krishnagiri,TOTAL,5202492,9440763059.482832
tamil-nadu,2021,1,tiruppur,TOTAL,4975985,9855808601.269077
tamil-nadu,2021,1,madurai,TOTAL,3516926,7776155489.0908375
tamil-nadu,2021,1,erode,TOTAL,3015359,6105816825.193925
goa,2019,4,north goa,TOTAL,980231,1963621433.5422535
goa,2019,4,south goa,TOTAL,535041,959838914.9572154
goa,2019,2,north goa,TOTAL,470250,1020834861.8525431
goa,2019,2,south goa,TOTAL,298191,571032241.535074
goa,2019,3,north goa,TOTAL,673971,1293013307.2683115
goa,2019,3,south goa,TOTAL,418445,707353884.2285295
goa,2019,1,north goa,TOTAL,441807,940864352.317215
goa,2019,1,south goa,TOTAL,297005,534459044.9593618
goa,2022,4,north goa,TOTAL,11455490,17268434371.99816
goa,2022,4,south goa,TOTAL,5737184,7656551999.340998
goa,2022,2,north goa,TOTAL,9999773,16484842033.028084
goa,2022,2,south goa,TOTAL,4216281,6388195726.492123
goa,2022,3,north goa,TOTAL,8310698,13076925808.314318
